Station Name,model and version,XL2 S/N
LakeHodges_SYCAMORE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911378
Label,Meas Type,Slope,Offset,Equation
PT Level,02/15/2020,06:40:00,-0.07,G
Flow_cfs,02/15/2020,06:40:00,0.00,G
FlowVolume,02/15/2020,06:40:00,0.00,G
PT Level,02/15/2020,06:45:00,-0.06,G
Flow_cfs,02/15/2020,06:45:00,0.00,G
FlowVolume,02/15/2020,06:45:00,0.00,G
PT Level,02/15/2020,06:50:00,-0.08,G
Flow_cfs,02/15/2020,06:50:00,0.00,G
FlowVolume,02/15/2020,06:50:00,0.00,G
PT Level,02/15/2020,06:55:00,-0.08,G
Flow_cfs,02/15/2020,06:55:00,0.00,G
FlowVolume,02/15/2020,06:55:00,0.00,G
PT Level,02/15/2020,07:00:00,-0.05,G
Flow_cfs,02/15/2020,07:00:00,0.00,G
FlowVolume,02/15/2020,07:00:00,0.00,G
PT Level,02/15/2020,07:05:00,-0.05,G
Flow_cfs,02/15/2020,07:05:00,0.00,G
FlowVolume,02/15/2020,07:05:00,0.00,G
PT Level,02/15/2020,07:10:00,-0.06,G
Flow_cfs,02/15/2020,07:10:00,0.00,G
FlowVolume,02/15/2020,07:10:00,0.00,G
PT Level,02/15/2020,07:15:00,-0.05,G
Flow_cfs,02/15/2020,07:15:00,0.00,G
FlowVolume,02/15/2020,07:15:00,0.00,G
PT Level,02/15/2020,07:20:00,-0.06,G
Flow_cfs,02/15/2020,07:20:00,0.00,G
FlowVolume,02/15/2020,07:20:00,0.00,G
PT Level,02/15/2020,07:25:00,-0.06,G
Flow_cfs,02/15/2020,07:25:00,0.00,G
FlowVolume,02/15/2020,07:25:00,0.00,G
PT Level,02/15/2020,07:30:00,-0.06,G
Flow_cfs,02/15/2020,07:30:00,0.00,G
FlowVolume,02/15/2020,07:30:00,0.00,G
PT Level,02/15/2020,07:35:00,-0.07,G
Flow_cfs,02/15/2020,07:35:00,0.00,G
FlowVolume,02/15/2020,07:35:00,0.00,G
PT Level,02/15/2020,07:40:00,-0.07,G
Flow_cfs,02/15/2020,07:40:00,0.00,G
FlowVolume,02/15/2020,07:40:00,0.00,G
PT Level,02/15/2020,07:45:00,-0.06,G
Flow_cfs,02/15/2020,07:45:00,0.00,G
FlowVolume,02/15/2020,07:45:00,0.00,G
PT Level,02/15/2020,07:50:00,-0.07,G
Flow_cfs,02/15/2020,07:50:00,0.00,G
FlowVolume,02/15/2020,07:50:00,0.00,G
PT Level,02/15/2020,07:55:00,-0.07,G
Flow_cfs,02/15/2020,07:55:00,0.00,G
FlowVolume,02/15/2020,07:55:00,0.00,G
PT Level,02/15/2020,08:00:00,-0.07,G
Flow_cfs,02/15/2020,08:00:00,0.00,G
FlowVolume,02/15/2020,08:00:00,0.00,G
PT Level,02/15/2020,08:05:00,-0.07,G
Flow_cfs,02/15/2020,08:05:00,0.00,G
FlowVolume,02/15/2020,08:05:00,0.00,G
PT Level,02/15/2020,08:10:00,-0.07,G
Flow_cfs,02/15/2020,08:10:00,0.00,G
FlowVolume,02/15/2020,08:10:00,0.00,G
PT Level,02/15/2020,08:15:00,-0.07,G
Flow_cfs,02/15/2020,08:15:00,0.00,G
FlowVolume,02/15/2020,08:15:00,0.00,G
PT Level,02/15/2020,08:20:00,-0.06,G
Flow_cfs,02/15/2020,08:20:00,0.00,G
FlowVolume,02/15/2020,08:20:00,0.00,G
PT Level,02/15/2020,08:25:00,-0.07,G
Flow_cfs,02/15/2020,08:25:00,0.00,G
FlowVolume,02/15/2020,08:25:00,0.00,G
PT Level,02/15/2020,08:30:00,-0.08,G
Flow_cfs,02/15/2020,08:30:00,0.00,G
FlowVolume,02/15/2020,08:30:00,0.00,G
PT Level,02/15/2020,08:35:00,-0.10,G
Flow_cfs,02/15/2020,08:35:00,0.00,G
FlowVolume,02/15/2020,08:35:00,0.00,G
PT Level,02/15/2020,08:40:00,-0.08,G
Flow_cfs,02/15/2020,08:40:00,0.00,G
FlowVolume,02/15/2020,08:40:00,0.00,G
PT Level,02/15/2020,08:45:00,-0.08,G
Flow_cfs,02/15/2020,08:45:00,0.00,G
FlowVolume,02/15/2020,08:45:00,0.00,G
PT Level,02/15/2020,08:50:00,-0.09,G
Flow_cfs,02/15/2020,08:50:00,0.00,G
FlowVolume,02/15/2020,08:50:00,0.00,G
PT Level,02/15/2020,08:55:00,-0.08,G
Flow_cfs,02/15/2020,08:55:00,0.00,G
FlowVolume,02/15/2020,08:55:00,0.00,G
PT Level,02/15/2020,09:00:00,-0.08,G
Flow_cfs,02/15/2020,09:00:00,0.00,G
FlowVolume,02/15/2020,09:00:00,0.00,G
PT Level,02/15/2020,09:05:00,-0.08,G
Flow_cfs,02/15/2020,09:05:00,0.00,G
FlowVolume,02/15/2020,09:05:00,0.00,G
PT Level,02/15/2020,09:10:00,-0.08,G
Flow_cfs,02/15/2020,09:10:00,0.00,G
FlowVolume,02/15/2020,09:10:00,0.00,G
PT Level,02/15/2020,09:15:00,-0.08,G
Flow_cfs,02/15/2020,09:15:00,0.00,G
FlowVolume,02/15/2020,09:15:00,0.00,G
PT Level,02/15/2020,09:20:00,-0.08,G
Flow_cfs,02/15/2020,09:20:00,0.00,G
FlowVolume,02/15/2020,09:20:00,0.00,G
PT Level,02/15/2020,09:25:00,-0.08,G
Flow_cfs,02/15/2020,09:25:00,0.00,G
FlowVolume,02/15/2020,09:25:00,0.00,G
PT Level,02/15/2020,09:30:00,-0.09,G
Flow_cfs,02/15/2020,09:30:00,0.00,G
FlowVolume,02/15/2020,09:30:00,0.00,G
PT Level,02/15/2020,09:35:00,-0.09,G
Flow_cfs,02/15/2020,09:35:00,0.00,G
FlowVolume,02/15/2020,09:35:00,0.00,G
PT Level,02/15/2020,09:40:00,-0.09,G
Flow_cfs,02/15/2020,09:40:00,0.00,G
FlowVolume,02/15/2020,09:40:00,0.00,G
PT Level,02/15/2020,09:45:00,-0.08,G
Flow_cfs,02/15/2020,09:45:00,0.00,G
FlowVolume,02/15/2020,09:45:00,0.00,G
PT Level,02/15/2020,09:50:00,-0.08,G
Flow_cfs,02/15/2020,09:50:00,0.00,G
FlowVolume,02/15/2020,09:50:00,0.00,G
PT Level,02/15/2020,09:55:00,-0.09,G
Flow_cfs,02/15/2020,09:55:00,0.00,G
FlowVolume,02/15/2020,09:55:00,0.00,G
PT Level,02/15/2020,10:00:00,-0.08,G
Flow_cfs,02/15/2020,10:00:00,0.00,G
FlowVolume,02/15/2020,10:00:00,0.00,G
PT Level,02/15/2020,10:05:00,-0.09,G
Flow_cfs,02/15/2020,10:05:00,0.00,G
FlowVolume,02/15/2020,10:05:00,0.00,G
PT Level,02/15/2020,10:10:00,-0.08,G
Flow_cfs,02/15/2020,10:10:00,0.00,G
FlowVolume,02/15/2020,10:10:00,0.00,G
PT Level,02/15/2020,10:15:00,-0.08,G
Flow_cfs,02/15/2020,10:15:00,0.00,G
FlowVolume,02/15/2020,10:15:00,0.00,G
PT Level,02/15/2020,10:20:00,-0.08,G
Flow_cfs,02/15/2020,10:20:00,0.00,G
FlowVolume,02/15/2020,10:20:00,0.00,G
PT Level,02/15/2020,10:25:00,-0.08,G
Flow_cfs,02/15/2020,10:25:00,0.00,G
FlowVolume,02/15/2020,10:25:00,0.00,G
PT Level,02/15/2020,10:30:00,-0.09,G
Flow_cfs,02/15/2020,10:30:00,0.00,G
FlowVolume,02/15/2020,10:30:00,0.00,G
PT Level,02/15/2020,10:35:00,-0.10,G
Flow_cfs,02/15/2020,10:35:00,0.00,G
FlowVolume,02/15/2020,10:35:00,0.00,G
PT Level,02/15/2020,10:40:00,-0.08,G
Flow_cfs,02/15/2020,10:40:00,0.00,G
FlowVolume,02/15/2020,10:40:00,0.00,G
PT Level,02/15/2020,10:45:00,-0.08,G
Flow_cfs,02/15/2020,10:45:00,0.00,G
FlowVolume,02/15/2020,10:45:00,0.00,G
PT Level,02/15/2020,10:50:00,-0.10,G
Flow_cfs,02/15/2020,10:50:00,0.00,G
FlowVolume,02/15/2020,10:50:00,0.00,G
PT Level,02/15/2020,10:55:00,-0.10,G
Flow_cfs,02/15/2020,10:55:00,0.00,G
FlowVolume,02/15/2020,10:55:00,0.00,G
PT Level,02/15/2020,11:00:00,-0.09,G
Flow_cfs,02/15/2020,11:00:00,0.00,G
FlowVolume,02/15/2020,11:00:00,0.00,G
PT Level,02/15/2020,11:05:00,-0.10,G
Flow_cfs,02/15/2020,11:05:00,0.00,G
FlowVolume,02/15/2020,11:05:00,0.00,G
PT Level,02/15/2020,11:10:00,-0.08,G
Flow_cfs,02/15/2020,11:10:00,0.00,G
FlowVolume,02/15/2020,11:10:00,0.00,G
PT Level,02/15/2020,11:15:00,-0.09,G
Flow_cfs,02/15/2020,11:15:00,0.00,G
FlowVolume,02/15/2020,11:15:00,0.00,G
PT Level,02/15/2020,11:20:00,-0.10,G
Flow_cfs,02/15/2020,11:20:00,0.00,G
FlowVolume,02/15/2020,11:20:00,0.00,G
PT Level,02/15/2020,11:25:00,-0.08,G
Flow_cfs,02/15/2020,11:25:00,0.00,G
FlowVolume,02/15/2020,11:25:00,0.00,G
PT Level,02/15/2020,11:30:00,-0.10,G
Flow_cfs,02/15/2020,11:30:00,0.00,G
FlowVolume,02/15/2020,11:30:00,0.00,G
PT Level,02/15/2020,11:35:00,-0.10,G
Flow_cfs,02/15/2020,11:35:00,0.00,G
FlowVolume,02/15/2020,11:35:00,0.00,G
PT Level,02/15/2020,11:40:00,-0.10,G
Flow_cfs,02/15/2020,11:40:00,0.00,G
FlowVolume,02/15/2020,11:40:00,0.00,G
PT Level,02/15/2020,11:45:00,-0.09,G
Flow_cfs,02/15/2020,11:45:00,0.00,G
FlowVolume,02/15/2020,11:45:00,0.00,G
PT Level,02/15/2020,11:50:00,-0.10,G
Flow_cfs,02/15/2020,11:50:00,0.00,G
FlowVolume,02/15/2020,11:50:00,0.00,G
PT Level,02/15/2020,11:55:00,-0.10,G
Flow_cfs,02/15/2020,11:55:00,0.00,G
FlowVolume,02/15/2020,11:55:00,0.00,G
PT Level,02/15/2020,12:00:00,-0.09,G
Flow_cfs,02/15/2020,12:00:00,0.00,G
FlowVolume,02/15/2020,12:00:00,0.00,G
PT Level,02/15/2020,12:05:00,-0.10,G
Flow_cfs,02/15/2020,12:05:00,0.00,G
FlowVolume,02/15/2020,12:05:00,0.00,G
PT Level,02/15/2020,12:10:00,-0.10,G
Flow_cfs,02/15/2020,12:10:00,0.00,G
FlowVolume,02/15/2020,12:10:00,0.00,G
PT Level,02/15/2020,12:15:00,-0.10,G
Flow_cfs,02/15/2020,12:15:00,0.00,G
FlowVolume,02/15/2020,12:15:00,0.00,G
PT Level,02/15/2020,12:20:00,-0.09,G
Flow_cfs,02/15/2020,12:20:00,0.00,G
FlowVolume,02/15/2020,12:20:00,0.00,G
PT Level,02/15/2020,12:25:00,-0.09,G
Flow_cfs,02/15/2020,12:25:00,0.00,G
FlowVolume,02/15/2020,12:25:00,0.00,G
PT Level,02/15/2020,12:30:00,-0.10,G
Flow_cfs,02/15/2020,12:30:00,0.00,G
FlowVolume,02/15/2020,12:30:00,0.00,G
PT Level,02/15/2020,12:35:00,-0.10,G
Flow_cfs,02/15/2020,12:35:00,0.00,G
FlowVolume,02/15/2020,12:35:00,0.00,G
PT Level,02/15/2020,12:40:00,-0.11,G
Flow_cfs,02/15/2020,12:40:00,0.00,G
FlowVolume,02/15/2020,12:40:00,0.00,G
PT Level,02/15/2020,12:45:00,-0.09,G
Flow_cfs,02/15/2020,12:45:00,0.00,G
FlowVolume,02/15/2020,12:45:00,0.00,G
PT Level,02/15/2020,12:50:00,-0.09,G
Flow_cfs,02/15/2020,12:50:00,0.00,G
FlowVolume,02/15/2020,12:50:00,0.00,G
PT Level,02/15/2020,12:55:00,-0.09,G
Flow_cfs,02/15/2020,12:55:00,0.00,G
FlowVolume,02/15/2020,12:55:00,0.00,G
PT Level,02/15/2020,13:00:00,-0.09,G
Flow_cfs,02/15/2020,13:00:00,0.00,G
FlowVolume,02/15/2020,13:00:00,0.00,G
PT Level,02/15/2020,13:05:00,-0.09,G
Flow_cfs,02/15/2020,13:05:00,0.00,G
FlowVolume,02/15/2020,13:05:00,0.00,G
PT Level,02/15/2020,13:10:00,-0.09,G
Flow_cfs,02/15/2020,13:10:00,0.00,G
FlowVolume,02/15/2020,13:10:00,0.00,G
PT Level,02/15/2020,13:15:00,-0.10,G
Flow_cfs,02/15/2020,13:15:00,0.00,G
FlowVolume,02/15/2020,13:15:00,0.00,G
PT Level,02/15/2020,13:20:00,-0.10,G
Flow_cfs,02/15/2020,13:20:00,0.00,G
FlowVolume,02/15/2020,13:20:00,0.00,G
PT Level,02/15/2020,13:25:00,-0.09,G
Flow_cfs,02/15/2020,13:25:00,0.00,G
FlowVolume,02/15/2020,13:25:00,0.00,G
PT Level,02/15/2020,13:30:00,-0.09,G
Flow_cfs,02/15/2020,13:30:00,0.00,G
FlowVolume,02/15/2020,13:30:00,0.00,G
PT Level,02/15/2020,13:35:00,-0.10,G
Flow_cfs,02/15/2020,13:35:00,0.00,G
FlowVolume,02/15/2020,13:35:00,0.00,G
PT Level,02/15/2020,13:40:00,-0.09,G
Flow_cfs,02/15/2020,13:40:00,0.00,G
FlowVolume,02/15/2020,13:40:00,0.00,G
PT Level,02/15/2020,13:45:00,-0.09,G
Flow_cfs,02/15/2020,13:45:00,0.00,G
FlowVolume,02/15/2020,13:45:00,0.00,G
PT Level,02/15/2020,13:50:00,-0.10,G
Flow_cfs,02/15/2020,13:50:00,0.00,G
FlowVolume,02/15/2020,13:50:00,0.00,G
PT Level,02/15/2020,13:55:00,-0.08,G
Flow_cfs,02/15/2020,13:55:00,0.00,G
FlowVolume,02/15/2020,13:55:00,0.00,G
PT Level,02/15/2020,14:00:00,-0.08,G
Flow_cfs,02/15/2020,14:00:00,0.00,G
FlowVolume,02/15/2020,14:00:00,0.00,G
PT Level,02/15/2020,14:05:00,-0.09,G
Flow_cfs,02/15/2020,14:05:00,0.00,G
FlowVolume,02/15/2020,14:05:00,0.00,G
PT Level,02/15/2020,14:10:00,-0.09,G
Flow_cfs,02/15/2020,14:10:00,0.00,G
FlowVolume,02/15/2020,14:10:00,0.00,G
PT Level,02/15/2020,14:15:00,-0.09,G
Flow_cfs,02/15/2020,14:15:00,0.00,G
FlowVolume,02/15/2020,14:15:00,0.00,G
PT Level,02/15/2020,14:20:00,-0.10,G
Flow_cfs,02/15/2020,14:20:00,0.00,G
FlowVolume,02/15/2020,14:20:00,0.00,G
PT Level,02/15/2020,14:25:00,-0.09,G
Flow_cfs,02/15/2020,14:25:00,0.00,G
FlowVolume,02/15/2020,14:25:00,0.00,G
PT Level,02/15/2020,14:30:00,-0.10,G
Flow_cfs,02/15/2020,14:30:00,0.00,G
FlowVolume,02/15/2020,14:30:00,0.00,G
PT Level,02/15/2020,14:35:00,-0.09,G
Flow_cfs,02/15/2020,14:35:00,0.00,G
FlowVolume,02/15/2020,14:35:00,0.00,G
PT Level,02/15/2020,14:40:00,-0.09,G
Flow_cfs,02/15/2020,14:40:00,0.00,G
FlowVolume,02/15/2020,14:40:00,0.00,G
PT Level,02/15/2020,14:45:00,-0.09,G
Flow_cfs,02/15/2020,14:45:00,0.00,G
FlowVolume,02/15/2020,14:45:00,0.00,G
PT Level,02/15/2020,14:50:00,-0.09,G
Flow_cfs,02/15/2020,14:50:00,0.00,G
FlowVolume,02/15/2020,14:50:00,0.00,G
PT Level,02/15/2020,14:55:00,-0.09,G
Flow_cfs,02/15/2020,14:55:00,0.00,G
FlowVolume,02/15/2020,14:55:00,0.00,G
PT Level,02/15/2020,15:00:00,-0.09,G
Flow_cfs,02/15/2020,15:00:00,0.00,G
FlowVolume,02/15/2020,15:00:00,0.00,G
PT Level,02/15/2020,15:05:00,-0.07,G
Flow_cfs,02/15/2020,15:05:00,0.00,G
FlowVolume,02/15/2020,15:05:00,0.00,G
PT Level,02/15/2020,15:10:00,-0.09,G
Flow_cfs,02/15/2020,15:10:00,0.00,G
FlowVolume,02/15/2020,15:10:00,0.00,G
PT Level,02/15/2020,15:15:00,-0.09,G
Flow_cfs,02/15/2020,15:15:00,0.00,G
FlowVolume,02/15/2020,15:15:00,0.00,G
PT Level,02/15/2020,15:20:00,-0.09,G
Flow_cfs,02/15/2020,15:20:00,0.00,G
FlowVolume,02/15/2020,15:20:00,0.00,G
PT Level,02/15/2020,15:25:00,-0.08,G
Flow_cfs,02/15/2020,15:25:00,0.00,G
FlowVolume,02/15/2020,15:25:00,0.00,G
PT Level,02/15/2020,15:30:00,-0.09,G
Flow_cfs,02/15/2020,15:30:00,0.00,G
FlowVolume,02/15/2020,15:30:00,0.00,G
PT Level,02/15/2020,15:35:00,-0.08,G
Flow_cfs,02/15/2020,15:35:00,0.00,G
FlowVolume,02/15/2020,15:35:00,0.00,G
PT Level,02/15/2020,15:40:00,-0.09,G
Flow_cfs,02/15/2020,15:40:00,0.00,G
FlowVolume,02/15/2020,15:40:00,0.00,G
PT Level,02/15/2020,15:45:00,-0.09,G
Flow_cfs,02/15/2020,15:45:00,0.00,G
FlowVolume,02/15/2020,15:45:00,0.00,G
PT Level,02/15/2020,15:50:00,-0.08,G
Flow_cfs,02/15/2020,15:50:00,0.00,G
FlowVolume,02/15/2020,15:50:00,0.00,G
PT Level,02/15/2020,15:55:00,-0.09,G
Flow_cfs,02/15/2020,15:55:00,0.00,G
FlowVolume,02/15/2020,15:55:00,0.00,G
PT Level,02/15/2020,16:00:00,-0.09,G
Flow_cfs,02/15/2020,16:00:00,0.00,G
FlowVolume,02/15/2020,16:00:00,0.00,G
SDI XDT,02/15/2020,16:04:59,0,G
PT Level,02/15/2020,16:05:00,-0.10,G
Flow_cfs,02/15/2020,16:05:00,0.00,G
FlowVolume,02/15/2020,16:05:00,0.00,G
PT Level,02/15/2020,16:10:00,-0.09,G
Flow_cfs,02/15/2020,16:10:00,0.00,G
FlowVolume,02/15/2020,16:10:00,0.00,G
PT Level,02/15/2020,16:15:00,-0.08,G
Flow_cfs,02/15/2020,16:15:00,0.00,G
FlowVolume,02/15/2020,16:15:00,0.00,G
PT Level,02/15/2020,16:20:00,-0.08,G
Flow_cfs,02/15/2020,16:20:00,0.00,G
FlowVolume,02/15/2020,16:20:00,0.00,G
PT Level,02/15/2020,16:25:00,-0.08,G
Flow_cfs,02/15/2020,16:25:00,0.00,G
FlowVolume,02/15/2020,16:25:00,0.00,G
PT Level,02/15/2020,16:30:00,-0.08,G
Flow_cfs,02/15/2020,16:30:00,0.00,G
FlowVolume,02/15/2020,16:30:00,0.00,G
PT Level,02/15/2020,16:35:00,-0.08,G
Flow_cfs,02/15/2020,16:35:00,0.00,G
FlowVolume,02/15/2020,16:35:00,0.00,G
PT Level,02/15/2020,16:40:00,-0.08,G
Flow_cfs,02/15/2020,16:40:00,0.00,G
FlowVolume,02/15/2020,16:40:00,0.00,G
PT Level,02/15/2020,16:45:00,-0.08,G
Flow_cfs,02/15/2020,16:45:00,0.00,G
FlowVolume,02/15/2020,16:45:00,0.00,G
PT Level,02/15/2020,16:50:00,-0.07,G
Flow_cfs,02/15/2020,16:50:00,0.00,G
FlowVolume,02/15/2020,16:50:00,0.00,G
PT Level,02/15/2020,16:55:00,-0.09,G
Flow_cfs,02/15/2020,16:55:00,0.00,G
FlowVolume,02/15/2020,16:55:00,0.00,G
PT Level,02/15/2020,17:00:00,-0.08,G
Flow_cfs,02/15/2020,17:00:00,0.00,G
FlowVolume,02/15/2020,17:00:00,0.00,G
PT Level,02/15/2020,17:05:00,-0.08,G
Flow_cfs,02/15/2020,17:05:00,0.00,G
FlowVolume,02/15/2020,17:05:00,0.00,G
PT Level,02/15/2020,17:10:00,-0.10,G
Flow_cfs,02/15/2020,17:10:00,0.00,G
FlowVolume,02/15/2020,17:10:00,0.00,G
PT Level,02/15/2020,17:15:00,-0.08,G
Flow_cfs,02/15/2020,17:15:00,0.00,G
FlowVolume,02/15/2020,17:15:00,0.00,G
PT Level,02/15/2020,17:20:00,-0.08,G
Flow_cfs,02/15/2020,17:20:00,0.00,G
FlowVolume,02/15/2020,17:20:00,0.00,G
PT Level,02/15/2020,17:25:00,-0.07,G
Flow_cfs,02/15/2020,17:25:00,0.00,G
FlowVolume,02/15/2020,17:25:00,0.00,G
PT Level,02/15/2020,17:30:00,-0.08,G
Flow_cfs,02/15/2020,17:30:00,0.00,G
FlowVolume,02/15/2020,17:30:00,0.00,G
PT Level,02/15/2020,17:35:00,-0.08,G
Flow_cfs,02/15/2020,17:35:00,0.00,G
FlowVolume,02/15/2020,17:35:00,0.00,G
PT Level,02/15/2020,17:40:00,-0.07,G
Flow_cfs,02/15/2020,17:40:00,0.00,G
FlowVolume,02/15/2020,17:40:00,0.00,G
PT Level,02/15/2020,17:45:00,-0.08,G
Flow_cfs,02/15/2020,17:45:00,0.00,G
FlowVolume,02/15/2020,17:45:00,0.00,G
PT Level,02/15/2020,17:50:00,-0.09,G
Flow_cfs,02/15/2020,17:50:00,0.00,G
FlowVolume,02/15/2020,17:50:00,0.00,G
PT Level,02/15/2020,17:55:00,-0.08,G
Flow_cfs,02/15/2020,17:55:00,0.00,G
FlowVolume,02/15/2020,17:55:00,0.00,G
PT Level,02/15/2020,18:00:00,-0.08,G
Flow_cfs,02/15/2020,18:00:00,0.00,G
FlowVolume,02/15/2020,18:00:00,0.00,G
PT Level,02/15/2020,18:05:00,-0.08,G
Flow_cfs,02/15/2020,18:05:00,0.00,G
FlowVolume,02/15/2020,18:05:00,0.00,G
PT Level,02/15/2020,18:10:00,-0.07,G
Flow_cfs,02/15/2020,18:10:00,0.00,G
FlowVolume,02/15/2020,18:10:00,0.00,G
PT Level,02/15/2020,18:15:00,-0.07,G
Flow_cfs,02/15/2020,18:15:00,0.00,G
FlowVolume,02/15/2020,18:15:00,0.00,G
PT Level,02/15/2020,18:20:00,-0.06,G
Flow_cfs,02/15/2020,18:20:00,0.00,G
FlowVolume,02/15/2020,18:20:00,0.00,G
PT Level,02/15/2020,18:25:00,-0.08,G
Flow_cfs,02/15/2020,18:25:00,0.00,G
FlowVolume,02/15/2020,18:25:00,0.00,G
PT Level,02/15/2020,18:30:00,-0.06,G
Flow_cfs,02/15/2020,18:30:00,0.00,G
FlowVolume,02/15/2020,18:30:00,0.00,G
PT Level,02/15/2020,18:35:00,-0.07,G
Flow_cfs,02/15/2020,18:35:00,0.00,G
FlowVolume,02/15/2020,18:35:00,0.00,G
PT Level,02/15/2020,18:40:00,-0.08,G
Flow_cfs,02/15/2020,18:40:00,0.00,G
FlowVolume,02/15/2020,18:40:00,0.00,G
PT Level,02/15/2020,18:45:00,-0.08,G
Flow_cfs,02/15/2020,18:45:00,0.00,G
FlowVolume,02/15/2020,18:45:00,0.00,G
PT Level,02/15/2020,18:50:00,-0.08,G
Flow_cfs,02/15/2020,18:50:00,0.00,G
FlowVolume,02/15/2020,18:50:00,0.00,G
PT Level,02/15/2020,18:55:00,-0.08,G
Flow_cfs,02/15/2020,18:55:00,0.00,G
FlowVolume,02/15/2020,18:55:00,0.00,G
PT Level,02/15/2020,19:00:00,-0.07,G
Flow_cfs,02/15/2020,19:00:00,0.00,G
FlowVolume,02/15/2020,19:00:00,0.00,G
PT Level,02/15/2020,19:05:00,-0.07,G
Flow_cfs,02/15/2020,19:05:00,0.00,G
FlowVolume,02/15/2020,19:05:00,0.00,G
PT Level,02/15/2020,19:10:00,-0.08,G
Flow_cfs,02/15/2020,19:10:00,0.00,G
FlowVolume,02/15/2020,19:10:00,0.00,G
PT Level,02/15/2020,19:15:00,-0.06,G
Flow_cfs,02/15/2020,19:15:00,0.00,G
FlowVolume,02/15/2020,19:15:00,0.00,G
PT Level,02/15/2020,19:20:00,-0.07,G
Flow_cfs,02/15/2020,19:20:00,0.00,G
FlowVolume,02/15/2020,19:20:00,0.00,G
PT Level,02/15/2020,19:25:00,-0.08,G
Flow_cfs,02/15/2020,19:25:00,0.00,G
FlowVolume,02/15/2020,19:25:00,0.00,G
PT Level,02/15/2020,19:30:00,-0.07,G
Flow_cfs,02/15/2020,19:30:00,0.00,G
FlowVolume,02/15/2020,19:30:00,0.00,G
PT Level,02/15/2020,19:35:00,-0.08,G
Flow_cfs,02/15/2020,19:35:00,0.00,G
FlowVolume,02/15/2020,19:35:00,0.00,G
PT Level,02/15/2020,19:40:00,-0.07,G
Flow_cfs,02/15/2020,19:40:00,0.00,G
FlowVolume,02/15/2020,19:40:00,0.00,G
PT Level,02/15/2020,19:45:00,-0.08,G
Flow_cfs,02/15/2020,19:45:00,0.00,G
FlowVolume,02/15/2020,19:45:00,0.00,G
PT Level,02/15/2020,19:50:00,-0.06,G
Flow_cfs,02/15/2020,19:50:00,0.00,G
FlowVolume,02/15/2020,19:50:00,0.00,G
PT Level,02/15/2020,19:55:00,-0.07,G
Flow_cfs,02/15/2020,19:55:00,0.00,G
FlowVolume,02/15/2020,19:55:00,0.00,G
PT Level,02/15/2020,20:00:00,-0.07,G
Flow_cfs,02/15/2020,20:00:00,0.00,G
FlowVolume,02/15/2020,20:00:00,0.00,G
PT Level,02/15/2020,20:05:00,-0.07,G
Flow_cfs,02/15/2020,20:05:00,0.00,G
FlowVolume,02/15/2020,20:05:00,0.00,G
PT Level,02/15/2020,20:10:00,-0.07,G
Flow_cfs,02/15/2020,20:10:00,0.00,G
FlowVolume,02/15/2020,20:10:00,0.00,G
PT Level,02/15/2020,20:15:00,-0.07,G
Flow_cfs,02/15/2020,20:15:00,0.00,G
FlowVolume,02/15/2020,20:15:00,0.00,G
PT Level,02/15/2020,20:20:00,-0.07,G
Flow_cfs,02/15/2020,20:20:00,0.00,G
FlowVolume,02/15/2020,20:20:00,0.00,G
PT Level,02/15/2020,20:25:00,-0.06,G
Flow_cfs,02/15/2020,20:25:00,0.00,G
FlowVolume,02/15/2020,20:25:00,0.00,G
PT Level,02/15/2020,20:30:00,-0.07,G
Flow_cfs,02/15/2020,20:30:00,0.00,G
FlowVolume,02/15/2020,20:30:00,0.00,G
PT Level,02/15/2020,20:35:00,-0.07,G
Flow_cfs,02/15/2020,20:35:00,0.00,G
FlowVolume,02/15/2020,20:35:00,0.00,G
PT Level,02/15/2020,20:40:00,-0.06,G
Flow_cfs,02/15/2020,20:40:00,0.00,G
FlowVolume,02/15/2020,20:40:00,0.00,G
PT Level,02/15/2020,20:45:00,-0.07,G
Flow_cfs,02/15/2020,20:45:00,0.00,G
FlowVolume,02/15/2020,20:45:00,0.00,G
PT Level,02/15/2020,20:50:00,-0.07,G
Flow_cfs,02/15/2020,20:50:00,0.00,G
FlowVolume,02/15/2020,20:50:00,0.00,G
PT Level,02/15/2020,20:55:00,-0.06,G
Flow_cfs,02/15/2020,20:55:00,0.00,G
FlowVolume,02/15/2020,20:55:00,0.00,G
PT Level,02/15/2020,21:00:00,-0.06,G
Flow_cfs,02/15/2020,21:00:00,0.00,G
FlowVolume,02/15/2020,21:00:00,0.00,G
PT Level,02/15/2020,21:05:00,-0.05,G
Flow_cfs,02/15/2020,21:05:00,0.00,G
FlowVolume,02/15/2020,21:05:00,0.00,G
PT Level,02/15/2020,21:10:00,-0.07,G
Flow_cfs,02/15/2020,21:10:00,0.00,G
FlowVolume,02/15/2020,21:10:00,0.00,G
PT Level,02/15/2020,21:15:00,-0.06,G
Flow_cfs,02/15/2020,21:15:00,0.00,G
FlowVolume,02/15/2020,21:15:00,0.00,G
PT Level,02/15/2020,21:20:00,-0.07,G
Flow_cfs,02/15/2020,21:20:00,0.00,G
FlowVolume,02/15/2020,21:20:00,0.00,G
PT Level,02/15/2020,21:25:00,-0.05,G
Flow_cfs,02/15/2020,21:25:00,0.00,G
