Station Name,model and version,XL2 S/N
Tazon_DW0317,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911380
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.150000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
11/10/2020,23:05:00,Flow_950,0.29,cfs,G
11/10/2020,23:05:10,RS232 Disconnected,0,,G
11/10/2020,23:05:00,Vel_950,4.84,fps,G
11/10/2020,23:10:00,PT Level,0.11,in,G
11/10/2020,23:10:00,PT Flow cfs,0.255,gpm,G
11/10/2020,23:10:04,RS232 Connected,0,,G
11/10/2020,23:10:00,Level_950,0.10,in,G
11/10/2020,23:10:00,Flow_950,0.29,cfs,G
11/10/2020,23:10:10,RS232 Disconnected,0,,G
11/10/2020,23:10:00,Vel_950,4.84,fps,G
11/10/2020,23:15:00,PT Level,0.13,in,G
11/10/2020,23:15:00,PT Flow cfs,0.385,gpm,G
11/10/2020,23:15:04,RS232 Connected,0,,G
11/10/2020,23:15:00,Level_950,0.10,in,G
11/10/2020,23:15:00,Flow_950,0.29,cfs,G
11/10/2020,23:15:10,RS232 Disconnected,0,,G
11/10/2020,23:15:00,Vel_950,4.84,fps,G
11/10/2020,23:20:00,PT Level,0.13,in,G
11/10/2020,23:20:00,PT Flow cfs,0.385,gpm,G
11/10/2020,23:20:04,RS232 Connected,0,,G
11/10/2020,23:20:00,Level_950,0.10,in,G
11/10/2020,23:20:00,Flow_950,0.29,cfs,G
11/10/2020,23:20:10,RS232 Disconnected,0,,G
11/10/2020,23:20:00,Vel_950,4.84,fps,G
11/10/2020,23:25:00,PT Level,0.11,in,G
11/10/2020,23:25:00,PT Flow cfs,0.255,gpm,G
11/10/2020,23:25:04,RS232 Connected,0,,G
11/10/2020,23:25:00,Level_950,0.10,in,G
11/10/2020,23:25:00,Flow_950,0.29,cfs,G
11/10/2020,23:25:10,RS232 Disconnected,0,,G
11/10/2020,23:25:00,Vel_950,4.84,fps,G
11/10/2020,23:30:00,PT Level,0.11,in,G
11/10/2020,23:30:00,PT Flow cfs,0.255,gpm,G
11/10/2020,23:30:04,RS232 Connected,0,,G
